Company Name,Address,City/Community,Employee Size,Annual Sales (If known),Description,Key Contact(s),Number,Foundation/Involvement ,Membership Level,Partner Type
"Acument Global Technologies Camcar, LLC","826 E. Madison St. Belvidere, IL 61008",Belvidere,200,N/A,Automotive,"Mr Dave Brook (Plant Manager), Ms Tara Cuppini (HR Manager) ",815-544-0331,,Silver,Business I 
Advanced Machine & Engineering Co.,"2500 Latham St. Rockford, IL 61103",Rockford,115,N/A,Machinery,Mr. Dietmar Goellner (CEO) Mr Dave LEezer (CFO) Ms Deb Boland (HR Manager),815-962-6076,,Silver,Business I 
Amphenol Antenna Solutions Inc,"1300 Capital Dr. Rockford, IL 61109",Rockford,100,N/A,Telecommunications,Mr Lyn Evans (Controller) Mr Mike Willging (GM),815-399-0001,,Silver,Business I 
Austin-Westran LLC,"602 E. Blackhawk Dr. Byron, IL 61010",Byron,150,$25Mil,Machinery,Mr Gene Berg (CEO) MR Bill Diemel (President) Mr Mike Schrom (Controller) Ms Dona Zwancig (HR Manager) ,815-234-2811,,Silver,Business I 
"Barnes International, Inc","814 Chestnut St. Rockford, IL 61102",Rockford,120,$8Mil-$15Mil,Machinery,MR David Gollob (Corporate President) Mr Bill Kirchner (President/GM) Ms Nancy Williams (HR Manager),815-964-8661,,Silver,Business I 
Behr Iron & Metal,"1100 Seminary St. Rockford, IL 61104",Rockford,198,$500Mil,Mining & Metals,Mr William Bremner (CEO) Mr Lee Foecking (CFO) Mr John Menne (Sr. VP/HR),815-987-2755,,Silver,Business I 
"Caldwell Group, Inc., The","5025 26th Ave. Rockford, IL 61109",Rockford,100,N/A,Machinery,MR Doug Stitt (President) Mr John Kuntze (CFO) Mr Robert Dooley (Director/Manufacturing) ,815-229-5667,,Silver,Business I 
Capron Mfg. Co,"200 N. Burr Oak Rd. Capron, IL 61012",Capron ,100,$5Mil-$10Mil,Warehousing,Mr Patrick Stanley (Director/Operations) Mr Tim Bottcher (Operations Manager) Mr Ken Rogenbuck (Fabrication Manager),815-569-2301,,Silver,Business I 
Chemtool Incorporated,"801 W. Rockton Rd. Rockton, IL 61072",Rockton,110,N/A,Chemicals,Mr Dan Karagozian (VP) Mr Robert Shockley (VP/Operations),815-957-4140,,Silver,Business I 
"Estwing. Mfg. Co., ","2647 8th St. Rockford, IL 61109",Rockford,225,N/A,Business Supplies & Equipment,Mr Mark Youngren (President/COO) Ms Sharon Phillips (VP/CFO) Mr Jim Walker (HR Manager),815-397-9521,,Silver,Business I 
First American Plastic Molding Enterprise,"810 Progressive Ln. South Beloit, IL 61080",South Beloit,100,$20Mil,Plastic Injection Molding,Mr Bill Bartlett (President) Mr Steve Erickson (VP) Ms Linda Bartlett (HR Manager),815-624-8538,,Silver,Business I 
"Forest City Gear Co., Inc","11715 Main St. Roscoe, IL 61073",Roscoe ,110,N/A,Machinery,Mr Frederic Young (CEO) Ms Wendy Young (President) Mr Jared Lyford (COO) ,815-623-2168,,Silver,Business I 
Global Specialty Solutions,"215 Elmwood Ave. South Beloit, IL 61080",South Beloit,100,N/A,Mining & Metals,Mr G. Curtin Lansbery (President/CEO) Mr Phil Samuels (Director),815-389-2300,,Silver,Business I 
"Ingersoll Machine Tools, Inc","707 Fulton Ave. Rockford, IL 61103",Rockford,200,$25Mil-$50Mil,Machinery,Mr Attillio Camozzi (Chairman) Mr Tino Oldani (CEO) Mr Larry Mocadio (CFO) Ms Miki Leombruni (HR),815-987-6000,,Silver,Business I 
J & M Plating Inc,"4500 Kishwaukee St. Rockford, IL 61109",Rockford,125,N/A,Building Materials,Mr. Mark Morris (President) Ms Martina Shumaker (Controller/Manager) Mr Rick Morris (HR Manager),815-964-4975,,Silver,Business I 
"Jamco Products, Inc","1 Jamco Ct. South Beloit, IL 61080",South Beloit,100,"$500,000-$1Mil",Marketing & Advertising ,Mr Scott Ericson (HR Manager) ,815-624-0400,,Silver,Business I 
"PNC, Inc","117 E. Mason St. Polo, IL 61064",Polo,200,N/A,Automotive,Mr Keith Palmer (President),815-946-2328,,Silver,Business I 
PBC Linear - A Pacific Bearing Co,"6402 E. Rockton Rd. Roscoe, IL 61073",Roscoe,120,N/A,Machinery,Mr Robert Schroder (CEO) Ms Eileen King (HR Manager),815-389-5600,,Silver,Business I 
Precision Quincy Ovens,"602 E. Blackhawk Dr. Byron, IL 61010",Byron ,140,N/A,Machinery,Mr Gene Burg (Owner) Mr Bill Diemael (President) Ms Donna Zwanzig (HR Manager) ,302-602-8738,,Silver,Business I 
Quality Metal Finishing Co,"421 N. Walnut St. Byron, IL 61010",Byron ,100,N/A,Mining & Metals,Mr Matt Bortoli (President/Treasurer) Mr Bill Wohrley (Controller) Ms Carry Britnell (HR Manager),815-234-2711,,Silver,Business I 
Rockford Process Control Inc,"2020 7th St. Rockford, IL 61104",Rockford,110,$25Mil,Mining & Metals,Mr Patrick Derry (President) Mr David Bippus (CFO/HR Manager) Mr Kelly Geishert (Manufacturing Manager),815-966-2000,,Silver,Business I 
Rockford Spring Co,"3801 S. Central Ave. Rockford, IL 61102",Rockford,105,N/A,Machinery,Mr Stanley Banas (President) Ms Susan Meyer (Treasurer/HR Manager),815-968-3000,,Silver,Business I 
Rockford Toolcraft,"766 Research Pkwy. Rockford, IL 61109",Rockford,225,$11Mil-$25Mil,Machinery,Mr Thomas Busse (President) Mr Robert Lindwall (Controller) Mr Peter McKee (Plant Manager) Mr Daniel Mckee (HR),815-398-5507,,Silver,Business I 
Rockford Fastener,"725 South St. Rockford, IL 61102",Rockford,127,$6Mil-$10Mil,Mining & Metals,Mr Brian Burgy (President) Mr Nick Orman (VP),815-968-5343,,Silver,Business I 
Southern Imperial,"1400 Eddy Ave. Rockford, IL 61103",Rockford,245,$75Mil,Retail,Mr Steven Vandemore (President) Mr Paul Quinn (VP/Operations) Ms Sherrie Sisco (HR),815-877-7041,,Silver,Business I 
Seward Screw Products,"16377 3rd St. Seward, IL 61077",Seward,100,$20Mil,Consumer Goods,Mr Wayne Ax (President) Ms Virgina Sarkarati (VP) MS Carry Britnell (HR) ,815-247-8411,,Silver,Business I 
Silgan Containers Mfg. Corp,"400 N. 15th St. Rochelle, IL 61068",Rochelle,200,N/A,Packaging & Containers,Mr Terry Cooper (Plant Manager) Ms Monica Bottom (HR Manager) ,815-562-1250,,Silver,Business I 
Spider Co Inc,"2340 11th St. Rockford, IL 61104",Rockford,145,N/A,Aerospace,Mr Tom Diehl (President),815-961-8200,,Silver,Business I 
Top Die Casting Company,"13910 Dearborn Ave. South Beloit, IL 61080",South Beloit,210,$40Mil,Machinery,Mr LaVerne McCurdy (President) Mr Joe Prieve (Plant Manager) Mr Dave McCurdy (Operations Manager),815-389-2599,,Silver,Business I 
Curtis Metal Finishing,"9917 N. Alpine Rd. Machesney Park, IL 61115",Machesney Park,100,N/A,Automotive,Mr Steve Wasson (Plant Manager) Mr Eric West (Production Manager),815-633-6693,,Silver,Business I 
Hennig Inc,"9900 N. Alpine Rd. Machesney Park, IL 61115",Machesney Park,125,$20Mil,Machinery,Mr Dietmar Goellner (President/Operation Manager) Mr David Leezer (Controller),815-636-9900,,Silver,Business I 
Parker Hannifin Corp,"10711 N. 2nd St. Machesney Park, IL 61115",Machesney Park,105,N/A,Mechanical/Industrial,Mr Bill Samp (Controller) Mr Matt Jacobson (GM/Operations Manager) Mr Brad Bomkomp (Plant Manager),815-636-4100,,Silver,Business I 
